"ID";"Name";"INN";"global_id";"KPP";"OGRN";"Sum";"ExtraInfo";
"1";"Îáùåñòâî ñ îãðàíè÷åííîé îòâåòñòâåííîñòüþ «ÔÈÐÌÀ «ÈÌÏÅÐÈÀË»";"7702090640";"20277178";"771301001";"1037739107438";"3.2856358823E8";"çàäîëæåííîñòü ïî àðåíäíîé ïëàòå äëÿ àðåíäàòîðîâ, ñ êîòîðûìè îôîðìëåíî íåñêîëüêî äîãîâîðîâ àðåíäû íà íåæèëûå ïîìåùåíèÿ, óêàçàíà ñ ó÷åòîì îáùåé ñóììû çàäîëæåííîñòè";
"3";"Îáùåñòâî ñ îãðàíè÷åííîé îòâåòñòâåííîñòüþ «Ìàãàçèí «ËÎÒÀ»";"7708042466";"20277180";"770801001";"1027739289434";"1.0311190418E8";"";
"5";"Îáùåñòâî ñ îãðàíè÷åííîé îòâåòñòâåííîñòüþ «ÝÏÐÌ»";"5005033351";"20277182";"772601001";"1035001303600";"8.497496134E7";"çàäîëæåííîñòü ïî àðåíäíîé ïëàòå äëÿ àðåíäàòîðîâ, ñ êîòîðûìè îôîðìëåíî íåñêîëüêî äîãîâîðîâ àðåíäû íà íåæèëûå ïîìåùåíèÿ, óêàçàíà ñ ó÷åòîì îáùåé ñóììû çàäîëæåííîñòè";
"4";"Îáùåñòâî ñ îãðàíè÷åííîé îòâåòñòâåííîñòüþ «ÑÊÒÄ»";"7731188801";"20277181";"773101001";"1027700306303";"7.948615107E7";"";
"2";"Îáùåñòâî ñ îãðàíè÷åííîé îòâåòñòâåííîñòüþ «ÊÎÍÈÊÑ-ØÊÎËÜÍÈÊ»";"7709537944";"20277179";"770901001";"1047796225322";"7.900846398E7";"çàäîëæåííîñòü ïî àðåíäíîé ïëàòå äëÿ àðåíäàòîðîâ, ñ êîòîðûìè îôîðìëåíî íåñêîëüêî äîãîâîðîâ àðåíäû íà íåæèëûå ïîìåùåíèÿ, óêàçàíà ñ ó÷åòîì îáùåé ñóììû çàäîëæåííîñòè";
"6";"Îáùåñòâî ñ îãðàíè÷åííîé îòâåòñòâåííîñòüþ «ÐÝÑÎ»";"7709599429";"20277183";"770101001";"1027739584498";"7.867497443E7";"çàäîëæåííîñòü ïî àðåíäíîé ïëàòå äëÿ àðåíäàòîðîâ, ñ êîòîðûìè îôîðìëåíî íåñêîëüêî äîãîâîðîâ àðåíäû íà íåæèëûå ïîìåùåíèÿ, óêàçàíà ñ ó÷åòîì îáùåé ñóììû çàäîëæåííîñòè";
"8";"Îáùåñòâî ñ îãðàíè÷åííîé îòâåòñòâåííîñòüþ «ÂÅËÀ ãðàíä»";"7716182001";"20277185";"773601001";"1037739019581";"6.603309287E7";"";
"7";"Îáùåñòâî ñ îãðàíè÷åííîé îòâåòñòâåííîñòüþ «ÓÍÈÂÅÐÑÑÒÐÎÉËÞÊÑ»";"7705355693";"20277184";"771901001";"1027700384722";"6.122651758E7";"çàäîëæåííîñòü ïî àðåíäíîé ïëàòå äëÿ àðåíäàòîðîâ, ñ êîòîðûìè îôîðìëåíî íåñêîëüêî äîãîâîðîâ àðåíäû íà íåæèëûå ïîìåùåíèÿ, óêàçàíà ñ ó÷åòîì îáùåé ñóììû çàäîëæåííîñòè";
"10";"Çàêðûòîå àêöèîíåðíîå îáùåñòâî «Àóäèòîðñêàÿ ôèðìà «Áèçíåñ-êëàññ-àóäèò»";"7710014995";"20277187";"772001001";"1037739570483";"5.334718317E7";"";
"13";"Îáùåñòâî ñ îãðàíè÷åííîé îòâåòñòâåííîñòüþ «ÄÆÈ-ÝÍ-ÝÍ»";"7729139902";"20277190";"770301001";"1027739605409";"5.310967369E7";"çàäîëæåííîñòü ïî àðåíäíîé ïëàòå äëÿ àðåíäàòîðîâ, ñ êîòîðûìè îôîðìëåíî íåñêîëüêî äîãîâîðîâ àðåíäû íà íåæèëûå ïîìåùåíèÿ, óêàçàíà ñ ó÷åòîì îáùåé ñóììû çàäîëæåííîñòè";
