"signature_date";"system_object_id";"global_id";"ID";"AdmArea";"District";"EDU_NAME";"OGRN";"PASSED_NUMBER_FULL";"PASSES_OVER_220";"PASSER_UNDER_160";"YEAR";"LINK";
"31.10.2016 09:29:23";"5093";"4697910";"5093";"Северный административный округ";"район Аэропорт";"Государственное автономное образовательное учреждение высшего образования города Москвы «Московский институт открытого образования» (средняя общеобразовательная школа № 179)";"1027700566761";"109";"80";"101";"2015-2016";"{global_id=19646366, value=Государственное автономное образовательное учреждение высшего профессионального образования города Москвы «Московский институт открытого образования» (средняя общеобразовательная школа № 179)}";
"31.10.2016 09:15:29";"5135";"4697911";"5135";"Южный административный округ";"район Орехово-Борисово Северное";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 426»";"1027739314734";"87";"3";"19";"2015-2016";"{global_id=30538830, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 426»}";
"31.10.2016 09:29:42";"5120";"4697912";"5120";"Южный административный округ";"район Нагатинский Затон";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 514»";"1137746779576";"58";"8";"24";"2015-2016";"{global_id=59480226, value=null}";
"31.10.2016 09:32:49";"5117";"4697913";"5117";"Южный административный округ";"район Чертаново Южное";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 932»";"1027739423304";"56";"6";"24";"2015-2016";"{global_id=59480200, value=null}";
"31.10.2016 09:10:07";"5126";"4697915";"5126";"Центральный административный округ";"Басманный район";"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1247 имени Юргиса Балтрушайтиса";"1027739525098";"60";"6";"20";"2015-2016";"{global_id=4478638, value=Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1247 имени Юргиса Балтрушайтиса}";
"31.10.2016 09:30:50";"350";"4697916";"350";"Центральный административный округ";"Пресненский район";"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1240 «Мультипрофильный образовательный комплекс «Пресненский»";"1147746441952";"117";"32";"70";"2015-2016";"{global_id=4479163, value=Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1240 «Мультипрофильный образовательный комплекс «Пресненский»}";
"31.10.2016 09:22:45";"5025";"4697917";"5025";"Северо-Восточный административный округ";"район Южное Медведково";"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1482";"1147746919319";"71";"10";"23";"2015-2016";"{global_id=4479432, value=Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1482}";
"31.10.2016 09:24:05";"5027";"4697918";"5027";"Восточный административный округ";"район Восточное Измайлово";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 734 «Школа самоопределения»";"1027739595025";"35";"13";"24";"2015-2016";"{global_id=13793782, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 734 «Школа самоопределения»}";
"31.10.2016 09:08:38";"5051";"4697919";"5051";"Юго-Восточный административный округ";"район Лефортово";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 417»";"1027739541642";"114";"5";"25";"2015-2016";"{global_id=19646349, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 417»}";
"31.10.2016 09:25:28";"5035";"4697920";"5035";"Южный административный округ";"район Орехово-Борисово Южное";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 544»";"5147746311334";"141";"23";"52";"2015-2016";"{global_id=4479122, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 544»}";
"31.10.2016 09:28:45";"4961";"4697922";"4961";"Восточный административный округ";"район Вешняки";"Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 31»";"1037739406968";"8";"0";"0";"2015-2016";"{global_id=30538816, value=Государственное казенное общеобразовательное учреждение города Москвы «Специальная (коррекционная) общеобразовательная школа-интернат № 31»}";
"31.10.2016 09:08:11";"4969";"4697923";"4969";"Западный административный округ";"район Крылатское";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1471»";"1027739276685";"18";"9";"14";"2015-2016";"{global_id=62782438, value=null}";
"31.10.2016 09:29:47";"4988";"4697924";"4988";"Юго-Западный административный округ";"Обручевский район";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 9»";"1027739903784";"43";"6";"21";"2015-2016";"{global_id=20974884, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 9»}";
"31.10.2016 09:29:47";"4997";"4697925";"4997";"Северо-Восточный административный округ";"Останкинский район";"Государственное автономное общеобразовательное учреждение города Москвы «Гимназия № 1518»";"1097746849419";"82";"70";"80";"2015-2016";"{global_id=64004148, value=null}";
"31.10.2016 09:25:28";"1672";"4697926";"1672";"Южный административный округ";"район Орехово-Борисово Южное";"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1636 «НИКА»";"1037724068425";"181";"26";"60";"2015-2016";"{global_id=13793732, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1636 «НИКА»}";
"31.10.2016 09:28:51";"1866";"4697928";"1866";"Западный административный округ";"район Фили-Давыдково";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 712»";"1137746413936";"67";"13";"35";"2015-2016";"{global_id=30538865, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 712»}";
"31.10.2016 09:36:10";"1973";"4697930";"1973";"Северный административный округ";"район Коптево";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 686 «Класс-центр»";"1037739720920";"43";"6";"11";"2015-2016";"{global_id=14021053, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 686 «Класс-центр»}";
"31.10.2016 09:15:32";"2095";"4697933";"2095";"Западный административный округ";"район Филёвский Парк";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1497»";"1037730014838";"62";"7";"32";"2015-2016";"{global_id=4479331, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1497»}";
"31.10.2016 09:20:36";"2352";"4697934";"2352";"Центральный административный округ";"район Замоскворечье";"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1259";"5137746021166";"69";"48";"63";"2015-2016";"{global_id=4479315, value=Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1259}";
"31.10.2016 09:35:19";"2350";"4697935";"2350";"Северный административный округ";"Хорошёвский район";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 141 имени Героя Советского Союза Рихарда Зорге»";"1147746107849";"83";"27";"60";"2015-2016";"{global_id=64004155, value=null}";
"31.10.2016 09:26:43";"3940";"4697936";"3940";"Северо-Восточный административный округ";"Ярославский район";"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1577»";"1027700488265";"121";"24";"49";"2015-2016";"{global_id=19646365, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1577»}";
"31.10.2016 09:12:54";"3931";"4697937";"3931";"Восточный административный округ";"район Измайлово";"Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж автоматизации и информационных технологий № 20»";"1057719027013";"117";"0";"11";"2015-2016";"{global_id=13793710, value=Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж автоматизации и информационных технологий № 20»}";
"31.10.2016 09:28:43";"5308";"4697939";"5308";"Юго-Западный административный округ";"район Тёплый Стан";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 51»";"1027700443858";"61";"4";"19";"2015-2016";"{global_id=4478657, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 51»}";
"31.10.2016 09:27:55";"5303";"4697940";"5303";"Южный административный округ";"район Нагатино-Садовники";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1375»";"1027739549507";"121";"16";"52";"2015-2016";"{global_id=59480621, value=null}";
"31.10.2016 09:33:50";"5300";"4697941";"5300";"Восточный административный округ";"район Северное Измайлово";"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 2200»";"1157746630271";"122";"34";"71";"2015-2016";"{global_id=13793774, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 2200»}";
"31.10.2016 09:29:40";"5286";"4697942";"5286";"Северо-Восточный административный округ";"район Южное Медведково";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 285 имени В.А. Молодцова»";"1157746328684";"182";"16";"50";"2015-2016";"{global_id=4478720, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 285 имени В.А. Молодцова»}";
"31.10.2016 09:27:02";"5281";"4697943";"5281";"Северный административный округ";"район Сокол";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением испанского языка № 1252 имени Сервантеса»";"1027739921274";"75";"37";"47";"2015-2016";"{global_id=4478900, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением испанского языка № 1252 имени Сервантеса»}";
"31.10.2016 09:26:09";"5538";"4697944";"5538";"Восточный административный округ";"район Ивановское";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1373»";"1037739287376";"47";"8";"31";"2015-2016";"{global_id=13793688, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением иностранных языков № 1373»}";
"31.10.2016 09:38:43";"5460";"4697945";"5460";"Юго-Восточный административный округ";"район Марьино";"Государственное бюджетное общеобразовательное учреждение города Москвы школа № 1959 «Дети мира»";"5137746107824";"105";"17";"40";"2015-2016";"{global_id=37418777, value=Государственное бюджетное общеобразовательное учреждение города Москвы школа № 1959 «Дети мира»}";
"31.10.2016 09:36:19";"797";"4697949";"797";"Западный административный округ";"район Крылатское";"Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1593»";"1037739413667";"50";"16";"38";"2015-2016";"{global_id=4479212, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Гимназия № 1593»}";
"31.10.2016 09:34:01";"848";"4697950";"848";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1935»";"1037739069708";"56";"21";"41";"2015-2016";"{global_id=62782441, value=null}";
"31.10.2016 09:24:39";"4075";"4697951";"4075";"Восточный административный округ";"район Северное Измайлово";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 2033»";"1147746037064";"48";"17";"31";"2015-2016";"{global_id=13793791, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 2033»}";
"31.10.2016 09:37:06";"4256";"4697952";"4256";"Юго-Западный административный округ";"район Котловка";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 626 имени Н.И.Сац»";"5147746240406";"80";"14";"48";"2015-2016";"{global_id=4478742, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 626 имени Н.И.Сац»}";
"31.10.2016 09:19:54";"4431";"4697953";"4431";"Зеленоградский административный округ";"район Старое Крюково";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 853»";"1027739341850";"103";"37";"83";"2015-2016";"{global_id=4479255, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 853»}";
"31.10.2016 09:25:36";"4259";"4697955";"4259";"Юго-Восточный административный округ";"район Люблино";"Государственное бюджетное общеобразовательное учреждение города Москвы «Лицей № 2010 имени Героя Советского Союза М.П. Судакова»";"1137746780346";"86";"28";"58";"2015-2016";"{global_id=62782443, value=null}";
"31.10.2016 09:26:47";"4264";"4697956";"4264";"Юго-Западный административный округ";"Обручевский район";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа-интернат № 17»";"1027700497219";"9";"0";"2";"2015-2016";"{global_id=64004145, value=null}";
"31.10.2016 09:15:16";"4265";"4697957";"4265";"Юго-Восточный административный округ";"район Лефортово";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1228»";"1027700583877";"158";"34";"75";"2015-2016";"{global_id=4478942, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1228»}";
"31.10.2016 09:28:22";"3746";"4697958";"3746";"Северо-Западный административный округ";"район Митино";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1944»";"1037739116997";"99";"56";"79";"2015-2016";"{global_id=4478889, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа с углубленным изучением английского языка № 1944»}";
"31.10.2016 09:19:52";"3850";"4697959";"3850";"Юго-Восточный административный округ";"Нижегородский район";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1222 имени Маршала Советского Союза И.Х. Баграмяна»";"1037739663136";"147";"25";"71";"2015-2016";"{global_id=13793788, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 1222 имени Маршала Советского Союза И.Х. Баграмяна»}";
"31.10.2016 09:15:04";"3852";"4697960";"3852";"Центральный административный округ";"Мещанский район";"Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2054»";"1127746718330";"501";"61";"145";"2015-2016";"{global_id=4478961, value=Государственное бюджетное общеобразовательное учреждение города Москвы «Школа № 2054»}";
